# Train        Test        
  121.835943   142.160995 
  116.620306   128.012894 
  110.710984    86.258743 
  108.174372   106.456863 
  102.203504    92.285843 
  120.899992          nan 
  119.557515          nan 
  123.208828   119.284203 
  110.680090    76.811562 
  113.991645    91.706093 
  110.227581   172.864594 
  113.124654   251.387756 
  115.890526   204.661453 
  116.440123    92.859268 
  115.986299    93.641861 
  117.897300   141.958801 
  109.793901          nan 
  104.625404    62.398293 
  106.389834    99.009109 
  115.678288   115.439789 
  109.920088   135.616592 
  120.108610   264.292725 
  116.368973    86.689606 
  110.379117   298.139587 
  105.438679          nan 
  104.110001   102.362122 
  117.822578          nan 
  117.977408    84.756485 
  113.074165    83.268471 
  115.950566   119.358223 
  116.503925          nan 
  108.175621    78.486549 
  109.925128    79.826866 
  113.165675    80.717293 
  115.883872          nan 
  122.116289          nan 
  110.679682          nan 
  109.924134   111.128181 
  104.950497    82.757477 
  108.225791    85.198601 
  109.649651    86.953751 
  115.365377          nan 
  119.288713          nan 
  110.746794          nan 
  108.627940   123.288185 
  104.098850          nan 
  108.785384    80.314056 
  106.879155   149.275787 
  115.244673    89.218445 
  123.905057   144.581558 
  114.119937   106.849953 
  113.069366    89.804886 
  107.519610          nan 
  104.000191   124.395218 
  111.514684          nan 
  120.595415          nan 
  118.453727   107.152679 
  109.348574          nan 
  106.217417          nan 
  100.765935    77.555428 
  106.884659    70.449333 
  111.123633          nan 
  111.698063   118.233772 
  118.126188   117.316673 
  116.213609    77.084946 
  109.165517   148.938980 
  104.121350    69.757057 
  103.266587    94.006866 
  107.779306   169.947037 
  108.320494    92.856064 
  126.133177   405.704895 
  116.370230          nan 
  109.341566   170.422394 
  105.051328    80.569061 
  104.969893    93.807877 
  104.084547          nan 
  111.553810    91.532921 
  119.723555          nan 
  110.341919   175.187393 
  104.733933   104.456535 
  103.621604   115.691368 
  105.165653          nan 
  116.631523   214.271225 
  115.748601   112.713684 
  113.395468    97.067390 
  116.897499   137.889481 
  105.811816          nan 
  100.073834          nan 
  104.969252   204.981003 
  107.063012    69.252991 
  114.294775          nan 
  121.204259    85.896339 
  114.276019    77.537384 
  103.871556    70.329872 
  103.182925    94.203873 
  110.257508          nan 
  109.482074    95.238846 
  112.688293    70.330734 
  117.272327   120.724266 
  108.952343    91.073891 
  108.752436   130.200928 
  102.916910    92.316841 
  101.696980    65.188599 
  106.236596   134.478012 
  112.245687    77.573769 
  119.352830    93.351082 
  120.489933          nan 
  108.338132   100.923630 
  101.596083    69.923538 
  102.524177    83.268654 
  107.268231   103.293045 
  109.077609    70.853767 
  115.078709          nan 
  120.266936   247.284897 
  104.474205    74.972748 
  104.986096    99.610283 
  101.847305    81.500862 
  114.853690    72.699928 
  115.170368    85.712143 
  111.924536   117.851097 
  107.510985    78.566734 
  111.205734    84.829079 
   99.972746   101.111389 
  101.024281    95.759819 
  103.877801   197.415176 
  115.627154    92.580902 
  114.348472   103.821037 
  117.655734    84.693527 
  106.061496    84.644821 
  105.296085    99.705933 
  104.578253   109.031113 
  107.447061    81.026184 
  111.718753          nan 
  121.086518    77.741096 
  117.304418          nan 
  112.894304   148.903061 
  103.189276    87.654541 
  104.283944    95.812225 
  102.622231          nan 
  110.092862    77.042580 
  111.733452   140.257721 
  118.587110    83.841667 
  103.261373    91.307877 
  101.914712    72.500977 
  105.554090          nan 
  109.888125    66.701286 
  106.434528   198.982132 
  112.309429   104.814735 
  111.019812    68.529137 
  110.516448    71.147926 
  103.180186          nan 
  102.762837   195.306915 
  105.364675   116.024734 
  116.258757    90.020523 
  121.181515    85.064316 
  112.853956   143.611374 
  109.141051   158.343750 
  104.164248          nan 
  103.117927    86.541519 
  102.163345          nan 
  108.858384    82.385895 
  109.218483   143.777237 
  108.734049          nan 
  106.563151    83.357018 
   96.208991    91.882271 
  105.049350    72.382225 
  113.633731    93.071823 
  108.463384   125.533058 
  113.572144    99.995209 
  108.887433          nan 
  104.937580    87.886703 
   99.495952   194.801941 
  100.381032   219.666656 
  106.819555    78.569107 
  110.752306    86.755997 
  114.652529    99.731873 
  109.996443    98.009895 
  105.968307   119.185844 
  105.303743    84.517029 
  102.276346    73.268066 
  108.572522    80.000923 
  103.089848          nan 
  107.099484   149.131104 
  113.323688          nan 
   99.154492    92.822159 
  105.992563          nan 
  100.133653   102.425079 
  103.811378   105.491821 
  103.887284    79.449486 
  108.724183    78.277390 
  109.836672    75.795647 
  109.669975   126.941528 
  103.176203          nan 
   99.946936          nan 
  103.444905   241.616882 
  112.002614    67.932983 
  112.123861   111.701698 
  109.724142    72.698685 
  112.553828          nan 
  101.798359    58.972549 
   97.873137          nan 
  102.063091          nan 
  111.636355   113.678848 
  111.030323    95.447868 
  109.473546   103.384460 
  108.990940    86.541557 
  102.191607    97.177406 
  100.923433          nan 
  106.818713          nan 
  104.235948   136.267822 
  107.016754    83.679344 
  114.669595   112.007263 
  106.854135    85.832870 
  101.585504          nan 
  102.543677    98.855576 
   99.184266    64.801537 
  108.160998    84.223022 
  114.096783    83.031708 
  107.312013    99.519920 
  110.364282   103.890228 
  100.975979          nan 
  100.188807    89.653999 
  100.675616    86.921165 
  104.020803    89.242584 
  111.283387    65.541496 
  112.328545          nan 
  109.119387    94.765289 
  105.237699    70.359680 
   98.477521          nan 
  102.280271   129.968781 
  100.548295    87.140457 
  108.024950          nan 
  104.041213    85.425751 
  106.851636    68.039078 
