# Train        Test        
  409.978094   401.951721 
  230.365834   145.455460 
  209.327957   141.039825 
  195.577536   250.890671 
  203.349058   233.867538 
  202.976993   155.978958 
  204.311930          nan 
  198.015127   277.244080 
  193.417685   135.035797 
  170.518118   144.212097 
  170.829569          nan 
  167.295735          nan 
  175.550465   172.001373 
  182.237177   181.098724 
  168.026766    97.485954 
  165.795382          nan 
  161.859034   220.477036 
  144.888485   114.064484 
  145.689109          nan 
  162.404133   141.487656 
  164.719778          nan 
  162.493043          nan 
  155.181698   231.861694 
  143.972381   116.137077 
  141.328004   108.838081 
  144.044794   152.134247 
  151.391077   352.500916 
  156.060150    95.249481 
  153.267396   124.112732 
  151.635020   322.300751 
  138.440579   130.601288 
  138.155458   163.113892 
  140.952068   119.644257 
  146.822349   209.266251 
  154.913900   127.555687 
  152.945909   171.980682 
  144.987733   120.553497 
  140.423442    91.306549 
  128.959342    88.450928 
  134.686827   168.742950 
  146.685280   134.344345 
  147.237597   166.799988 
  156.323064   274.557129 
  148.569848   167.351135 
  133.408210          nan 
  132.185636   100.442245 
  134.252541   134.644424 
  143.745146   138.233124 
  147.238283   490.469849 
  148.287810          nan 
  146.372002          nan 
  131.718210          nan 
  134.690907   295.981812 
  135.408349          nan 
  143.289525          nan 
  144.014365          nan 
  144.104083   140.014297 
  138.799087   116.464111 
  130.134607   185.941895 
  124.643981   167.490234 
  129.354137   150.626877 
  139.995578   110.216431 
  142.606481   107.781380 
  146.707688          nan 
  140.136116          nan 
  134.692080   145.143143 
  126.087704          nan 
  129.967710   137.967087 
  133.358174   162.793488 
  139.289998   114.913429 
  142.767097   105.101219 
  139.774912   118.978607 
  132.471439   109.369232 
  122.693067    94.436432 
  130.767707    86.360001 
  136.986488          nan 
  146.607077   170.358871 
  135.971381   134.630539 
  130.752247    91.406540 
  134.195464   159.414902 
  126.082964    75.130585 
  132.592013   237.579422 
  133.220748          nan 
  135.989578          nan 
  149.823876   110.820267 
  132.643975   125.018669 
  126.816067          nan 
  125.331419   124.426353 
  129.381571          nan 
  136.198961    96.289856 
  136.670079   305.861542 
  136.743161   141.449936 
  133.459240    78.650299 
  126.921828    94.506516 
  121.094745    83.313683 
  128.549395    82.200813 
  132.864774   160.010880 
  138.270426   154.512436 
  131.311972          nan 
  130.353606   186.465363 
  120.216054          nan 
  122.928622    77.721954 
  123.865061   133.271759 
  128.438105   100.826530 
  137.474731   108.952728 
  135.809009    90.702362 
  132.833224   115.742966 
  121.631246   122.323830 
  117.825696    94.162193 
  124.702259    78.194664 
  130.601523   196.911026 
  137.931629          nan 
  141.086639   122.368942 
  129.641253   188.563553 
  119.955018   159.613846 
  120.251409   167.601776 
  121.429507          nan 
  129.573151   179.408066 
  134.750323          nan 
  129.166649          nan 
  123.890001          nan 
  121.206490          nan 
  123.985441    89.210182 
  123.725813   130.617035 
  128.807295   275.375366 
  134.399955    82.223267 
  126.896383   201.927277 
  127.870628    95.218124 
  117.019882          nan 
  116.009259    94.754005 
  124.488345   187.349884 
  127.423521   147.854309 
  128.022902   182.828476 
  124.939577          nan 
  122.494458    94.061218 
  118.423980   113.293335 
  124.284812   180.847733 
  119.791536          nan 
  130.112625          nan 
  127.695657          nan 
  130.640099   122.481850 
  123.122955          nan 
  114.866121          nan 
  121.870804   106.208382 
  123.048637   118.796791 
  125.836201   110.293854 
  129.269690    80.088371 
  128.288079    99.725235 
  122.532144   243.829132 
  110.375204   109.579239 
  110.557281    88.023003 
  121.415954   182.606537 
  125.536454          nan 
  129.081400          nan 
  127.468246   138.866531 
  123.154294   203.910904 
  117.381133    89.480705 
  118.478208   174.781021 
  123.725333   102.286644 
  124.805822   151.935791 
  130.977530    89.296478 
  130.054641   165.228638 
  122.220833   107.343849 
  115.231146   185.579056 
  115.850686    83.872231 
  116.818761   186.067871 
  127.260513   122.052528 
  122.356231   108.230873 
  124.341118          nan 
  122.592895    89.559029 
  121.806722    71.841347 
  114.355409   103.044701 
  114.345023    81.134132 
  124.861295   114.661827 
  127.693964          nan 
  127.169902    93.380318 
  126.110134          nan 
  120.727564          nan 
  123.137250          nan 
  111.980913          nan 
  123.591618          nan 
  127.596123   105.947197 
  123.590898   217.419571 
  123.412858          nan 
  115.108677          nan 
  110.860751    75.641037 
  117.898176          nan 
  122.191800    89.001472 
  127.237638    85.942978 
  126.044080    77.594040 
  120.189716          nan 
  115.480666   153.889359 
  109.474847    94.685112 
  109.557730    82.260445 
  122.000208          nan 
  136.380238   102.038284 
  126.824342          nan 
  119.191097    87.617119 
  115.581521   166.338593 
  111.378183          nan 
  114.588115   149.766891 
  123.481272          nan 
  122.935169    87.965805 
  130.120062    99.564735 
  117.131854          nan 
  111.656066    74.342773 
  111.681974   112.819511 
  110.548453          nan 
  122.901025    87.691711 
  123.887424    73.538841 
  120.388747   112.605118 
  114.997018    94.481834 
  120.619453          nan 
  114.029378    78.237801 
  114.850477          nan 
  116.645089          nan 
  126.025942          nan 
  120.481258    80.476318 
  126.572975          nan 
  112.581424    98.042511 
  114.397657          nan 
  112.286953    75.269836 
  121.365433   124.852249 
  120.497721          nan 
  116.214917   205.621643 
  119.481396    78.655556 
  113.316337    82.012398 
  108.706557   117.661667 
  116.974568    79.715675 
  116.906494          nan 
  128.683483   127.131454 
  122.122579          nan 
  116.106583   100.593040 
  116.535242   168.468491 
  109.638420    64.715508 
  113.484969    75.972977 
  123.378929   122.731110 
  120.446835          nan 
  123.821141   126.815948 
  120.760028    72.705009 
  116.175235   148.625061 
  109.533936   132.048462 
  112.264223    72.508949 
  117.987774    94.608414 
  118.188953    97.495216 
  118.040981    70.244972 
  117.898818    97.778221 
  108.543231          nan 
  106.881511    78.252350 
  114.595657          nan 
  109.430272    95.402733 
  123.049240    97.804321 
  117.524714          nan 
  108.624253    74.325615 
  111.129971   103.824486 
  107.715485   105.819397 
  106.397766   174.924545 
  118.490731    79.938889 
  121.598479    69.423180 
  125.643316   127.475220 
  116.873811    64.948509 
  112.999828    87.055946 
  115.185085          nan 
  106.740292   120.563377 
  114.811165   133.025833 
  121.448291          nan 
