# Train        Test        
  517.744375   323.629211 
  347.221322   332.886414 
  332.949315   331.725037 
  311.753327   328.300385 
  307.780078   318.039581 
  300.625476   266.689117 
  276.619006   301.532166 
  281.793045   320.725922 
  271.684537   256.591003 
  275.576081   242.393997 
  261.484604   228.016983 
  255.498054   219.805603 
  256.616568   279.225342 
  251.312071   296.232056 
  252.886613   239.966034 
  248.272995   220.244843 
  240.088818   232.573776 
  249.543893   235.722916 
  251.236389   287.080322 
  236.462574   175.891022 
  241.891298   205.522888 
  241.031427   277.563141 
  234.905883   202.491714 
  252.013574   188.702728 
  236.905704   276.312439 
  228.165646   179.227325 
  227.417113   291.264862 
  233.457922   164.952530 
  230.873384   158.046814 
  226.913676   126.294060 
  230.235578   281.282013 
  226.408685   189.537720 
  239.885817          nan 
  228.861138   214.819107 
  217.820611   268.320587 
  218.796094          nan 
  224.259437   181.798416 
  233.600508          nan 
  224.290213   198.397812 
  223.304880          nan 
  220.265742   364.618713 
  219.586372   261.184387 
  217.629101   224.912277 
  217.417572   251.688553 
  207.951461   212.730194 
  227.133028   196.941055 
  228.690970   235.683304 
  216.869204   178.658264 
  208.367562   179.054703 
  208.390795   206.329803 
  220.631381   395.611389 
  226.466776   193.516144 
  217.716141   221.190338 
  218.421716          nan 
  223.471481   264.908783 
  211.486705   229.475998 
  214.245314   165.708740 
  203.300987   199.102676 
  215.738402   208.877899 
  216.535646   178.378204 
  220.481039   256.870239 
  209.560890   221.671844 
  203.879456   211.466660 
  213.491159   222.750702 
  210.844485   196.793732 
  207.892964   282.279724 
  200.065219   191.186829 
  204.633088   195.724243 
  215.573299   189.755646 
  210.194066   203.080078 
  201.951137   214.502777 
  208.053976   160.124649 
  206.523085   215.513351 
  201.696549   264.172638 
  201.975567          nan 
  195.198679   300.367279 
  195.575257   228.652039 
  203.798849   241.024475 
  207.627347   195.981796 
  200.094671   199.407852 
  196.487544   207.939301 
  209.134317   199.763290 
  202.009321   240.132690 
  200.046573   187.467468 
  206.360208   190.193420 
  199.822862   217.321747 
  212.998200   160.936020 
  203.756056   142.001709 
  195.241659   228.817429 
  205.647539   217.177780 
  204.475551   147.469223 
  204.903836          nan 
  203.032740   149.313965 
  193.671272          nan 
  198.353953   144.749374 
  199.775111   264.896698 
  207.009172   221.957855 
  198.535029   178.082001 
  199.601518   137.818832 
  198.040661   248.402527 
  204.251267   151.176132 
  201.805930   234.514313 
  198.082243   237.197021 
  198.013679   274.174988 
  203.209958   264.333862 
  206.685670   184.489655 
  197.661012   140.891190 
  200.646579   164.997253 
  193.276851   151.101639 
  205.640677   225.167694 
  204.348956   205.937439 
  187.510453   156.323547 
  201.267513   198.137558 
  202.244329   206.586502 
  204.832071   213.933960 
  193.551223          nan 
  193.336969   231.070786 
  197.344191          nan 
  200.308309   270.482635 
  193.807534   171.618759 
  189.671088   133.885880 
  197.819011   259.811615 
  197.854205          nan 
  205.031653   169.364258 
  191.261089   184.848221 
  196.107114   161.782043 
  192.742770   218.646133 
  193.089267   229.264969 
  203.022316          nan 
  191.800598   179.899887 
  181.949448   239.545181 
  198.926569   222.428726 
  198.702307          nan 
  195.523204   211.507507 
  193.228373   214.612152 
  190.183156   236.612122 
  196.409873   174.969818 
  197.136194   198.181229 
  194.367558   206.395035 
  188.036609          nan 
  196.956268   190.448090 
  195.771858   263.786011 
  189.943178   190.329666 
  193.039166   151.898926 
  190.994714   126.972046 
  191.518655   146.152267 
  188.238094   258.459412 
  194.485536   138.366791 
  187.099905   153.089981 
  192.720123   135.970520 
  190.307699          nan 
  185.139398   148.657883 
  198.044140   196.893265 
  182.220018   180.069077 
  193.072114   170.076065 
  195.356634   165.079086 
  190.155464   192.580032 
  188.590421   374.019867 
  190.757741          nan 
  191.202303   211.041611 
  193.743028   173.325760 
  183.357356   205.567535 
  186.031284   160.912247 
  190.614877   213.413864 
  192.468924   173.700394 
  187.615992   204.140701 
  179.246263   222.168732 
  180.435189   166.854630 
  186.744149   185.497482 
  200.681610          nan 
  191.849124   328.406464 
  186.665868   192.998093 
  194.516451   163.437286 
  188.310901   260.946014 
  185.128949   187.032166 
  185.374830   259.154785 
  178.935715   176.701202 
  181.874759   220.470261 
  188.288492          nan 
  180.220829   192.419937 
  181.326751   253.382492 
  181.039802   159.965286 
  187.927775   205.305237 
  182.877596   113.459961 
  195.046007   213.027985 
  180.123182   190.776352 
  188.091817   273.427673 
  188.417083          nan 
  185.823184   104.716072 
  186.249156   176.914703 
  186.449189   179.276413 
  189.621651   240.592499 
  187.833718   212.598007 
  186.039409   153.145538 
  185.372755   223.718384 
  180.112181   120.745384 
  192.519140          nan 
  182.763244   169.378510 
  186.031951   141.306656 
  181.839655   104.576164 
